poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409877,MARINDUSTRIEL ENR.,V999002,0,1144525-DTZ,STUD,11.0,11.0,01-1041
409877,MARINDUSTRIEL ENR.,V999002,1,1182792-DTZ,OIL PRESSURE SWITCH,1.0,1.0,01-0265
409877,MARINDUSTRIEL ENR.,V999002,2,2934633-DTZ,OIL FILTER,2.0,2.0,01-5A03
409877,MARINDUSTRIEL ENR.,V999002,3,2937552-DTZ,THERMOSTAT NORMALLY CLOSED,1.0,1.0,01-0510
409877,MARINDUSTRIEL ENR.,V999002,4,4185354-DTZ,SHOULDER NUT,20.0,20.0,01-0843
409877,MARINDUSTRIEL ENR.,V999002,5,4199831-DTZ,LEVEL SWITCH,2.0,2.0,01-0826
409877,MARINDUSTRIEL ENR.,V999002,6,4210195-DTZ,PRESSURE SENSOR,3.0,3.0,01-1001
409877,MARINDUSTRIEL ENR.,V999002,7,4210196-DTZ,TEMPERATURE TRANSMITTER,2.0,2.0,01-0015
409877,MARINDUSTRIEL ENR.,V999002,8,4216846-DTZ,CONTROL UNIT,1.0,1.0,01-3E09
409877,MARINDUSTRIEL ENR.,V999002,9,4217188-DTZ,PRESSURE SENSOR ( repl by 4469190),1.0,1.0,01-0860
409877,MARINDUSTRIEL ENR.,V999002,10,50458401-HTZ,GASKET,2.0,2.0,01-03C48
409877,MARINDUSTRIEL ENR.,V999002,11,MT0349-NWG,CLUTCH PACK,4.0,0.0,01
409877,MARINDUSTRIEL ENR.,V999002,12,MT0381-NWG,SEAL KIT,2.0,0.0,
