poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409849,MARINDUSTRIEL ENR.,V999002,0,1149048-DTZ,SPRING BAND CLAMP,1.0,1.0,
409849,MARINDUSTRIEL ENR.,V999002,1,1216307-DTZ,SEALING RING,20.0,20.0,01-1082
409849,MARINDUSTRIEL ENR.,V999002,2,2109988-DTZ,SCREW/BOLT,8.0,8.0,01-0724
409849,MARINDUSTRIEL ENR.,V999002,3,2937881-DTZ,HOLLOW SCREW,3.0,3.0,01-0544
409849,MARINDUSTRIEL ENR.,V999002,4,4123053-DTZ,HOSE,1.0,1.0,
409849,MARINDUSTRIEL ENR.,V999002,5,4123054-DTZ,GASKET,1.0,1.0,01-0035
409849,MARINDUSTRIEL ENR.,V999002,6,4129278-DTZ,CYLIND.HEAD GASKET (4125491),1.0,1.0,01-2F04
409849,MARINDUSTRIEL ENR.,V999002,7,4157647-DTZ,SEALING RING,11.0,11.0,01-0944
409849,MARINDUSTRIEL ENR.,V999002,8,4162751-DTZ,COOLANT PUMP ( 4138560) (REPLACED BY 4166354),2.0,2.0,01-10A3
409849,MARINDUSTRIEL ENR.,V999002,9,4200486-DTZ,PLUG,1.0,1.0,01-1117
409849,MARINDUSTRIEL ENR.,V999002,10,4272481-DTZ,GASKET,2.0,2.0,01-0245
409849,MARINDUSTRIEL ENR.,V999002,11,4503888-DTZ,GASKET,2.0,2.0,01-1059
409849,MARINDUSTRIEL ENR.,V999002,12,02419400-HTZ,FUEL PUMP (02640900),2.0,2.0,01-03I62
409849,MARINDUSTRIEL ENR.,V999002,13,02608601-HTZ,ROTARY THROTTLE CONTROL*MUST BE PROGRAMMED*,2.0,2.0,01-03G10
409849,MARINDUSTRIEL ENR.,V999002,14,201-30261-LST,RUBBER CUP TS/TL,8.0,8.0,
409849,MARINDUSTRIEL ENR.,V999002,15,201-45070-LST,INJECTOR WASHER,13.0,0.0,
409849,MARINDUSTRIEL ENR.,V999002,16,754-43710-LST,FUEL INJECTOR-LPWT4CS,3.0,0.0,01
409849,MARINDUSTRIEL ENR.,V999002,17,920-5704-49-LOF,PANEL MC704HP PH 20/5 GT,1.0,1.0,01-03A68
409849,MARINDUSTRIEL ENR.,V999002,18,B1535F-TWD,PIN COTTER,4.0,4.0,01-05I58
409849,MARINDUSTRIEL ENR.,V999002,19,M2693E-TWD,SNAP RING,1.0,1.0,01-05D62
