poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409844,DEUTZ CORPORATION (USD),P000108,0,1174311-DTZ,O-SEAL,2.0,0.0,01-0454
409844,DEUTZ CORPORATION (USD),P000108,1,1149198-DTZ,SCREW PLUG,2.0,0.0,01-0922
409844,DEUTZ CORPORATION (USD),P000108,2,1148891-DTZ,SEALING RING,2.0,0.0,01-0521
409844,DEUTZ CORPORATION (USD),P000108,3,1174416-DTZ,SPIN-ON OIL FILTER,1.0,0.0,01-5C01
409844,DEUTZ CORPORATION (USD),P000108,4,1174416-DTZ,SPIN-ON OIL FILTER,1.0,0.0,01-5C01
409844,DEUTZ CORPORATION (USD),P000108,5,4120751-DTZ,FUEL FILTER (4131596),1.0,0.0,01-5A03
409844,DEUTZ CORPORATION (USD),P000108,6,4504438-DTZ,FILTER CARTRIDGE,1.0,0.0,01-5A01
409844,DEUTZ CORPORATION (USD),P000108,7,1180913-DTZ,NARROW V-BELT,1.0,0.0,01-PEG01
409844,DEUTZ CORPORATION (USD),P000108,8,2938279-DTZ,PARTICULATE FILTER,1.0,0.0,01
409844,DEUTZ CORPORATION (USD),P000108,9,2938253-DTZ,INLET,1.0,0.0,01
