poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409820,MARINDUSTRIEL ENR.,V999002,0,1163205-DTZ,ROT.SHAFT LIP SEAL,1.0,1.0,01-272
409820,MARINDUSTRIEL ENR.,V999002,1,1181426-DTZ,Torx-headbolt,1.0,1.0,
409820,MARINDUSTRIEL ENR.,V999002,2,4191001-DTZ,MOMENT.CONT.SWITCH,2.0,2.0,01-0823
409820,MARINDUSTRIEL ENR.,V999002,3,4215404-DTZ,repl by 4212744,1.0,1.0,01-0742
409820,MARINDUSTRIEL ENR.,V999002,4,4213408-DTZ,PRESSURE SENSOR,1.0,1.0,
409820,MARINDUSTRIEL ENR.,V999002,5,01587300-HTZ,MAGNETIC RING,1.0,1.0,01-03H116
409820,MARINDUSTRIEL ENR.,V999002,6,601-20691-LST,O-RING,4.0,0.0,01-07F22
409820,MARINDUSTRIEL ENR.,V999002,7,750-40624-LST,WATER PUMP ASSM,1.0,1.0,01-07I22
409820,MARINDUSTRIEL ENR.,V999002,8,750-46410-LST,ALTERNATOR KIT,1.0,0.0,01
409820,MARINDUSTRIEL ENR.,V999002,9,751-40211-LST,GASKET-WATER PUMP,2.0,0.0,01-07E42
409820,MARINDUSTRIEL ENR.,V999002,10,751-40441-LST,SLEEVE,2.0,0.0,
409820,MARINDUSTRIEL ENR.,V999002,11,751-40450-LST,GASKET-MOUNTING PLATE,2.0,2.0,01-BD06A
409820,MARINDUSTRIEL ENR.,V999002,12,751-40521-LST,NUT,1.0,0.0,
409820,MARINDUSTRIEL ENR.,V999002,13,751-46660-LST,GLOW PLUG,1.0,0.0,
