poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409816,MARINDUSTRIEL ENR.,V999002,0,1153598-DTZ,O-SEAL,1.0,1.0,01-184
409816,MARINDUSTRIEL ENR.,V999002,1,4132040-DTZ,FUEL PIPE,1.0,1.0,01-0339
409816,MARINDUSTRIEL ENR.,V999002,2,4132041-DTZ,FUEL PIPE,1.0,1.0,01-0147
409816,MARINDUSTRIEL ENR.,V999002,3,4132166-DTZ,FUEL LINE,1.0,1.0,01-1127
409816,MARINDUSTRIEL ENR.,V999002,4,4215404-DTZ,repl by 4212744,1.0,1.0,01-0742
409816,MARINDUSTRIEL ENR.,V999002,5,02608601-HTZ,ROTARY THROTTLE CONTROL*MUST BE PROGRAMMED*,2.0,2.0,01-03G10
409816,MARINDUSTRIEL ENR.,V999002,6,013-21787-LST,WASHER,1.0,1.0,
409816,MARINDUSTRIEL ENR.,V999002,7,201-82620-LST,PUMP PLUNGER,1.0,0.0,01
409816,MARINDUSTRIEL ENR.,V999002,8,201-82630-LST,PLUNGER CAP,1.0,0.0,01
409816,MARINDUSTRIEL ENR.,V999002,9,203-24811-LST,O RING,1.0,1.0,
409816,MARINDUSTRIEL ENR.,V999002,10,203-82352-LST,SPRING,1.0,0.0,01
409816,MARINDUSTRIEL ENR.,V999002,11,203-82360-LST,RETAINING PLATE,1.0,0.0,01
409816,MARINDUSTRIEL ENR.,V999002,12,203-82370-LST,PLUG,1.0,0.0,01
409816,MARINDUSTRIEL ENR.,V999002,13,210-00393-LST,LUB OIL PUMP BALL VALVE,1.0,1.0,01-07E08
